book,num,title,title2,originalTitle,composer,composer2,author,author2,theme
JEM,810,Par ton Esprit,"Accorde-nous, Seigneur",,"Schneider, Rolf",Rolf Schneider,"Schneider, Rolf",Rolf Schneider,Intercession
JEM,811,Père,"Père, être près de ton cœur",,"Ternisien, Nicolas",Nicolas Ternisien,"Ternisien, Nicolas",Nicolas Ternisien,Intimité
JEM,812,"Peuples, élevez la bannière",,Lift High the Banners of Love,"Gillard, Richard",Richard Gillard,"Gillard, Richard",Richard Gillard,Combat spirituel
JEM,813,Préparez au désert,Que toute vallée soit exhaussée,,"Bourbouze, Elisabeth",Elisabeth Bourbouze,"Bourbouze, Elisabeth",Elisabeth Bourbouze,Exhortation
JEM,814,Parfum de louange,Même si mon chant,,"Schneider, Rolf",Rolf Schneider,"Schneider, Rolf",Rolf Schneider,Consécration
JEM,815,Prosternés,"Prosternés, nous confessons",We bow down,"Grafstrom, Viola",Viola Grafstrom,"Grafstrom, Viola",Viola Grafstrom,Confession
JEM,816,Quand les montagnes,Quand les montagnes chancelleraient,,"Bourbouze, Elisabeth",Elisabeth Bourbouze,"Bourbouze, Elisabeth",Elisabeth Bourbouze,Dieu
JEM,817,Que ta gloire descende,Créateur et Père,Let your Glory Fall,"Ruis, David",David Ruis,"Ruis, David",David Ruis,Intercession
JEM,818,Que ton nom est merveilleux,"Dieu, que ton nom est merveilleux",,"Alonso, Gabriel",Gabriel Alonso,"Alonso, Gabriel",Gabriel Alonso,Adoration
JEM,819,Que ton règne vienne,Notre Père,,"Motte, Thérèse",Thérèse Motte,"Motte, Thérèse",Thérèse Motte,Prière
JEM,820,Qui est comme Dieu ?,Vraiment personne !,Stand up and give him the Praise,"Deshazo, Lynn",Lynn Deshazo,"Deshazo, Lynn",Lynn Deshazo,Louange
JEM,821,Règne en moi,Dans le monde entier,"Lord, reign in me","Brown, Brenton",Brenton Brown,"Brown, Brenton",Brenton Brown,Consécration
JEM,822,Rien n'est impossible à mon Dieu,,,"Freymond, Sylvain",Sylvain Freymond,"Freymond, Sylvain",Sylvain Freymond,Louange
JEM,823,"Shalom, Jérusalem","Prie pour la paix, Jérusalem",Shalom Jerusalem,"Wilbur, Paul",Paul Wilbur,"Wilbur, Paul",Paul Wilbur,Israël
JEM,824,Seigneur de la vie,La mort a été engloutie,,"Bourbouze, Elisabeth",Elisabeth Bourbouze,"Bourbouze, Elisabeth",Elisabeth Bourbouze,Louange
JEM,825,Sonde-moi,"Sonde-moi, ô Dieu et connais mon cœur !",,"Bourbouze, Elisabeth",Elisabeth Bourbouze,"Bourbouze, Elisabeth",Elisabeth Bourbouze,Prière
JEM,826,Sonne la trompette,Frappe des mains,Sound the Trumpet,"Bilbrough, David",David Bilbrough,"Bilbrough, David",David Bilbrough,Exhortation
JEM,827,Sur la terre entière,Ton fleuve s'écoule,All over the World,"Butler, Terry",Terry Butler,"Butler, Terry",Terry Butler,Saint-Esprit
JEM,828,Ta parole,Quand parfois je crains,Thy Word,"Grant, Amy",Amy Grant,"Grant, Amy ; Smith, Michaël W.",Amy Grant ; Michaël W. Smith,Foi et confiance
JEM,829,Te connaître,Ce qui m'était cher,Knowing You,"Kendrick, Graham",Graham Kendrick,"Kendrick, Graham",Graham Kendrick,Consécration
JEM,830,Tiens-moi dans tes bras,J'ai tout en toi,Draw me close to you,"Carpenter, Kelly",Kelly Carpenter,"Carpenter, Kelly",Kelly Carpenter,Intimité
JEM,831,Tous les rois de la terre,,,"Berning, Pat",Pat Berning,"Berning, Pat",Pat Berning,Louange
JEM,832,Transformé,Emerveillé,,"Wurtz, Nicolas",Nicolas Wurtz,"Wurtz, Nicolas",Nicolas Wurtz,Repentance
JEM,833,Tu adoreras,Tu adoreras le Seigneur ton Dieu,,"Lafitte, Corinne",Corinne Lafitte,"Lafitte, Corinne",Corinne Lafitte,Exhortation
JEM,834,Tu es digne,Tu es digne de recevoir,,"Andres, Joël",Joël Andres,"Andres, Joël",Joël Andres,Adoration
JEM,835,Tu seras toujours,Ta présence est un festin savoureux,,"Schneider, Rolf",Rolf Schneider,"Schneider, Rolf",Rolf Schneider,Intimité
JEM,836,Venez chanter de joie,Venez chanter de joie pour le Seigneur,Sing Hallelujah,"Wilbur, Paul",Paul Wilbur,"Wilbur, Paul",Paul Wilbur,Exhortation
JEM,837,"Viens, Esprit du Dieu vivant",,,"Lafitte, Corinne",Corinne Lafitte,"Lafitte, Corinne",Corinne Lafitte,Saint-Esprit
JEM,838,Voici l'Agneau,Chérubins et séraphins,Behold the Lamb,"Perrin, Cathy",Cathy Perrin,"Perrin, Cathy",Cathy Perrin,Proclamation
JEM,839,Adorons le Père,Tu es le seul Roi si grand,,"Freymond, Sylvain",Sylvain Freymond,"Freymond, Sylvain",Sylvain Freymond,Consécration
JEM,840,Adorons,Adorons l'Agneau,,"Lafitte, Corinne",Corinne Lafitte,"Lafitte, Corinne",Corinne Lafitte,Adoration
JEM,841,À genoux devant toi,,,"Reymond, François",François Reymond,"Reymond, François",François Reymond,Consécration
JEM,842,Alléluia,Nous venons t'offrir nos louanges,,"de Katow, Pierre-Nicolas",Pierre-Nicolas de Katow,"de Katow, Pierre-Nicolas",Pierre-Nicolas de Katow,Adoration
JEM,843,"Alléluia, ton amour est là",Ton amour étonnant,Your Love Is Amazing,"Doerksen, Brian ; Brown, Brenton",Brian Doerksen ; Brenton Brown,"Doerksen, Brian ; Brown, Brenton",Brian Doerksen ; Brenton Brown,Foi et confiance
JEM,844,Au siècle des siècles,Car il est Dieu au-dessus de la terre,,"Dumont, Luc",Luc Dumont,"Dumont, Luc",Luc Dumont,Adoration
JEM,845,Avec patience,Tu es le rocher qui nous a suivis,,"Lafitte, Corinne",Corinne Lafitte,"Lafitte, Corinne",Corinne Lafitte,Confession
JEM,846,Bénissez l'Eternel,Les voies de l'Éternel sont justes,,"Lafitte, Corinne",Corinne Lafitte,"Lafitte, Corinne",Corinne Lafitte,Israël
JEM,847,C'est dans le calme,,,"Durham, David",David Durham,"Durham, David",David Durham,Foi et confiance
JEM,848,C'est la journée que Dieu a faite,,,"Schneider, Michel",Michel Schneider,"Schneider, Michel",Michel Schneider,Joie et célébration
JEM,849,Craindre ton nom,,,"Lafitte, Corinne",Corinne Lafitte,"Lafitte, Corinne",Corinne Lafitte,Bénédiction
JEM,850,Christ est Roi,"Dans son amour, Dieu, le Père",,"Picotin, Richard",Richard Picotin,"Picotin, Richard",Richard Picotin,Confession
JEM,851,Comme une colombe,"Ton amour, ô Jésus",,"Charton, Francine",Francine Charton,"Charton, Francine",Francine Charton,Intimité
JEM,852,Comment te dire merci,Quand je vois la beauté,What can I do,"Kendrick, Graham ; Baloche, Paul",Graham Kendrick ; Paul Baloche,"Kendrick, Graham ; Baloche, Paul",Graham Kendrick ; Paul Baloche,Jésus-Christ
JEM,853,Dieu merveilleux,Qui est semblable au Dieu,,"de Katow, Pierre-Nicolas",Pierre-Nicolas de Katow,"de Katow, Pierre-Nicolas",Pierre-Nicolas de Katow,Dieu
JEM,854,"Dieu tout-Puissant, mon Rédempteur",,"Almighty God, My Redeemer","Zchech, Darlene",Darlene Zchech,"Zchech, Darlene",Darlene Zchech,Dieu
JEM,855,Il est grand,"Saint, trois fois saint",High and Exalted,"Rasmussen, Kyle",Kyle Rasmussen,"Rasmussen, Kyle",Kyle Rasmussen,Dieu
JEM,856,Élevez-vous,Élevez-vous portails éternels,,"Boskey, Avner",Avner Boskey,"Boskey, Avner",Avner Boskey,Intercession
JEM,857,Encore Dieu,"Tu as tout créé, Dieu",,"Picotin, Richard",Richard Picotin,"Picotin, Richard",Richard Picotin,Dieu
JEM,858,Inépuisable grâce,C'est par tes souffrances que je suis guéri,,"Schneider, Rolf",Rolf Schneider,"Schneider, Rolf",Rolf Schneider,Sainte-cène
