"book","num","title","title2","originalTitle","composer","composer2","author","author2","theme"
"À toi la gloire",78,"Dans les cieux et sur la terre",,"Take the Name of Jesus with You","Doane, William Howard","William Howard Doane","Jaulmes, Gédéon","Gédéon Jaulmes","Louanges à Jésus-Christ"
"À toi la gloire",79,"O nom divin, nom rédempteur",,,"Jude, William Herbert","William Herbert Jude","Rochedieu, Charles","Charles Rochedieu","Louanges à Jésus-Christ"
"À toi la gloire",80,"Par tous les saints glorifié",,"Deemster","Owen, William","William Owen","Saillens, Ruben","Ruben Saillens","Louanges à Dieu"
"À toi la gloire",81,"Ton nom, Seigneur Jésus",,"His name is higher","Inconnu","Inconnu","Jeunesse en Mission","Jeunesse en Mission","Louanges à Jésus-Christ"
"À toi la gloire",82,"Majesté",,"Majesty","Hayford, Jack","Jack Hayford","Hayford, Jack","Jack Hayford","Louanges à Jésus-Christ"
"À toi la gloire",83,"Oui, tu es digne",,"Worthy art thou","Richards, Dave","Dave Richards","Jeunesse en Mission","Jeunesse en Mission","Louanges à Jésus-Christ"
"À toi la gloire",84,"Jésus, nous t'adorons !",,"He is exalted","Soto, Bin","Bin Soto","Jeunesse en Mission","Jeunesse en Mission","Louanges à Jésus-Christ"
"À toi la gloire",85,"À celui qui nous aime",,,"Hogen, John van den","John van den Hogen","Hogen, John van den","John van den Hogen","Louanges à Jésus-Christ"
"À toi la gloire",86,"Jésus-Christ est Seigneur",,"He is Lord","Inconnu","Inconnu","Jeunesse en Mission","Jeunesse en Mission","Louanges à Jésus-Christ"
"À toi la gloire",87,"Jésus, c'est le plus beau nom",,"Jesus name above all names","Hearn, Naida","Naida Hearn","Jeunesse en Mission","Jeunesse en Mission","Louanges à Jésus-Christ"
"À toi la gloire",88,"Je crois au Dieu vivant",,"Leoni","Air ancien","Air ancien","Benoit, Claire-Lise de","Claire-Lise de Benoit","Trinité - Doxologies"
"À toi la gloire",89,"Gloire à Dieu, notre Créateur",,,"Bourgeois, Louis","Louis Bourgeois","Inconnu","Inconnu","Trinité - Doxologies"
"À toi la gloire",90,"Gloire à Dieu",,"Gelobt sei Gott im höchsten Thron","Vulpius, Melchior","Melchior Vulpius","Rec. Chants évangéliques","Rec. Chants évangéliques","Trinité - Doxologies"
"À toi la gloire",91,"Donnez louange et gloire",,"Nun lob, mein Seel', den Herren","Kugelmann, Johann","Johann Kugelmann","Ecklin, C.","C. Ecklin","Trinité - Doxologies"
"À toi la gloire",92,"Laisse-moi désormais",,,"Recueil de Lyon","Recueil de Lyon","Conrart, Valentin","Valentin Conrart","Jésus-Christ : sa naissance"
"À toi la gloire",93,"D'un arbre séculaire",,"Es ist ein Ros entsprungen","Praetorius, Michael","Michael Praetorius","Monastier, L.","L. Monastier","Jésus-Christ : sa naissance"
"À toi la gloire",94,"Le peuple qui marchait",,,"Recueil de Montbéliard","Recueil de Montbéliard","Decoppet, Charles","Charles Decoppet","Jésus-Christ : sa naissance"
"À toi la gloire",95,"Noël ! ô doux mystère",,,"Air finlandais","Air finlandais","Benoit, Claire-Lise de","Claire-Lise de Benoit","Jésus-Christ : sa naissance"
"À toi la gloire",96,"Écoutez le chant des anges !",,"Hark! The Herald Angels Sing","Mendelssohn, Felix","Felix Mendelssohn","Budry, Edmond Louis","Edmond Louis Budry","Jésus-Christ : sa naissance"
"À toi la gloire",97,"Terre, chante de joie",,"Come, Thou almighty King","Giardini, Felice de","Felice de Giardini","Saillens, Ruben","Ruben Saillens","Jésus-Christ : sa naissance"
"À toi la gloire",98,"Prince de lumière",,,"Noël hollandais","Noël hollandais","Blocher, Jacques-A.","Jacques-A. Blocher","Jésus-Christ : sa naissance"
"À toi la gloire",99,"O nuit bienveillante",,"O du fröhliche, o du selige","Gabrieli, Giovanni","Giovanni Gabrieli","Falk, Johannes Daniel","Johannes Daniel Falk","Jésus-Christ : sa naissance"
"À toi la gloire",100,"Quand dans la nuit",,,"Air anglais","Air anglais","Blocher, Jacques-A.","Jacques-A. Blocher","Jésus-Christ : sa naissance"
"À toi la gloire",101,"Devant ta crèche, tu me vois",,"Es ist gewisslich an der Zeit","Bach, Johann Sebastian","Johann Sebastian Bach","Ecklin, C.","C. Ecklin","Jésus-Christ : sa naissance"
"À toi la gloire",102,"O peuple fidèle",,"Adeste fideles","Wade, John Francis","John Francis Wade","Recueil de la Confession d'Augsbourg","Recueil de la Confession d'Augsbourg","Jésus-Christ : sa naissance"
"À toi la gloire",103,"Dieu, le tout-puissant Créateur",,,"Recueil Valentin Schumann","Recueil Valentin Schumann","Recueil de la Confession d'Augsbourg","Recueil de la Confession d'Augsbourg","Jésus-Christ : sa naissance"
