"book","num","title","title2","originalTitle","composer","composer2","author","author2","theme"
"Ailes de la Foi",447,"Dors, bien-aimé.","Adieu, mon frère, adieu","The Christian's Good-Night","Doudney, Sarah","Sarah Doudney","Saillens, Ruben ; imité de Sankey, Ira David","Ruben Saillens ; imité de Ira David Sankey","Deuil"
"Ailes de la Foi",448,"Éternel, ô mon Dieu.",,,"Urhan, Christian","Christian Urhan","Lamouroux, Dr","Dr Lamouroux",
"Ailes de la Foi",449,"Dès le matin, Seigneur.",,,"Urhan, Christian","Christian Urhan","Develay, Mme","Mme Develay","Matin - Soir"
"Ailes de la Foi",450,"Mon coeur te cherche.","Mon âme est attachée à toi","The cross is not greater","Booth, Ballington","Ballington Booth","Rochedieu, Charles","Charles Rochedieu","Matin - Soir"
"Ailes de la Foi",451,"O mon Dieu, je cherche ta face.",,,"Neiss","Neiss","Recueil des Ecoles du Dimanche","Recueil des Ecoles du Dimanche","Matin - Soir"
"Ailes de la Foi",452,"J'aime du soir.",,,"Durand, Louis","Louis Durand","Durand, Louis","Louis Durand","Matin - Soir"
"Ailes de la Foi",453,"Vers Toi, Seigneur.",,,"Hymns ancient and modern","Hymns ancient and modern","Saillens, Ruben","Ruben Saillens","Matin - Soir"
"Ailes de la Foi",454,"Frères, prions !",,"Eternity Is Drawing Nigh","Philipps, Phillip","Phillip Philipps","Saillens, Ruben","Ruben Saillens","Matin - Soir"
"Ailes de la Foi",455,"Le temps s'enfuit.",,,"Mendelssohn, Felix","Felix Mendelssohn","Fisch, Auguste","Auguste Fisch","Matin - Soir"
"Ailes de la Foi",456,"Dieu soit avec toi.","Au revoir, au revoir","God be with you till we meet again","Tomer, William Gould","William Gould Tomer","Saillens, Ruben","Ruben Saillens","Adieux"
"Ailes de la Foi",457,"Jésus sois avec vous.","Oh ! Joyeuse et sainte espérance","God be with you till we meet again","Tomer, William Gould","William Gould Tomer","Rochedieu, Charles","Charles Rochedieu","Adieux"
"Ailes de la Foi",458,"Seigneur Jésus, céleste frère.",,,"Vieil air anglais","Vieil air anglais","Blocher, Jacques-A.","Jacques-A. Blocher","Mariage"
"Ailes de la Foi",459,"Comme un phare.","O Sauveur, que ta lumière","Let the Lower Lights Be Burning","Bliss, Philip-Paul","Philip-Paul Bliss","Saillens, Ruben","Ruben Saillens","Jeunesse"
"Ailes de la Foi",460,"Dans le drapeau.",,,"Schaffner, Aug.","Aug. Schaffner","Saillens, Ruben","Ruben Saillens","Patrie"
"Ailes de la Foi",461,"Du Christ Sauveur.",,,"Recueil anglais","Recueil anglais","Saillens, Ruben","Ruben Saillens","Jeunesse"
"Ailes de la Foi",462,"Entendez-vous l'appel du Maître.","A Toi, Jésus, notre jeunesse",,"Granier, Guillaume","Guillaume Granier","Granier, Guillaume","Guillaume Granier","Jeunesse"
"Ailes de la Foi",463,"La lutte suprême.","Du Christ la bannière","Onward, Christian Soldiers","Sullivan, Arthur","Arthur Sullivan","Saillens, Ruben","Ruben Saillens","Jeunesse"
"Ailes de la Foi",464,"Marchons avec joie.",,"Onward, Christian Soldiers","Sullivan, Arthur","Arthur Sullivan","Jaulmes, Gédéon","Gédéon Jaulmes","Jeunesse"
"Ailes de la Foi",465,"Venez au Sauveur qui vous aime.","Oh ! Quel beau jour, Sauveur","Come to the Savior","Root, George Frederick","George Frederick Root","Glardon, Auguste","Auguste Glardon","Jeunesse"
"Ailes de la Foi",466,"Chantons du Seigneur la bonté.","Jésus fait bien tout ce qu'il fait",,"Anonyme","Anonyme","Saillens, Ruben","Ruben Saillens","Enfants"
"Ailes de la Foi",467,"David n'avait rien que sa fronde.",,,"Lasserre, Mlle E.","Mlle E. Lasserre","Chambrier, Alice de","Alice de Chambrier","Enfants"
"Ailes de la Foi",468,"Bon Sauveur, berger fidèle.","Béni sois-tu, tendre Maître","Savior, Like A Shepherd Lead Us","Bradbury, Willliam Batchelder","Willliam Batchelder Bradbury","Mégroz, Mme","Mme Mégroz","Enfants"
"Ailes de la Foi",469,"Il est un Ami fidèle.",,"In Memoriam","Stainer, John","John Stainer","Fisch, Auguste","Auguste Fisch","Enfants"
"Ailes de la Foi",470,"Qui dit au soleil.","C'est l'Eternel, c'est notre Dieu",,"Mélodie populaire","Mélodie populaire","Tournier, Louis","Louis Tournier","Enfants"
"Ailes de la Foi",471,"Il est un brillant paradis.","Vers cet asile glorieux",,,,,,"Enfants"
"Ailes de la Foi",472,"Jésus me demande d'être.","Un rayon de joie","I'll be a Sunbeam","Excell, Edwin Othello","Edwin Othello Excell","Rochedieu, Charles","Charles Rochedieu","Enfants"
"Ailes de la Foi",473,"Chaque jour de ma vie.",,,"Malan, César","César Malan","Malan, César","César Malan","Enfants"
